s,H/h,S0,type,R/h
0.267949192431123,0.0808888888888889,6.8352948654943,NB,0.211555555555556
0.267949192431123,0.0764444444444444,7.03118823424323,NB,0.198666666666667
0.267949192431123,0.072,7.24495080604332,NB,0.193333333333333
0.267949192431123,0.0542222222222222,8.34858806825795,NB,0.172444444444444
0.267949192431123,0.0497777777777778,8.71332547507901,NB,0.172444444444444
0.267949192431123,0.156,4.92197484671414,NB,0.4505
0.267949192431123,0.126,5.47666802676788,NB,0.3365
0.267949192431123,0.091,6.44437780106748,NB,0.2395
0.267949192431123,0.061,7.87112431519773,NB,0.1555
0.267949192431123,0.184,4.53203001658336,NB,0.528571428571429
0.267949192431123,0.138285714285714,5.2277285710057,NB,0.392
0.267949192431123,0.101142857142857,6.11271405176973,NB,0.281142857142857
0.267949192431123,0.0982857142857143,6.20092516303032,NB,0.288571428571429
0.267949192431123,0.0697142857142857,7.36276260904389,NB,0.177714285714286
0.267949192431123,0.188,4.48355771367171,NB,0.560666666666667
0.267949192431123,0.148,5.05325054410599,NB,0.442666666666667
0.267949192431123,0.108,5.91547756212394,NB,0.300666666666667
0.267949192431123,0.068,7.45499287598105,NB,0.174666666666667
0.267949192431123,0.2256,4.09290949609047,NB,0.704
0.267949192431123,0.1776,4.61296551955351,NB,0.528
0.267949192431123,0.1376,5.2407382847882,NB,0.3728
0.267949192431123,0.0816,6.80544627369189,NB,0.1824
0.267949192431123,0.242,3.9517913487509,NB,0.739
0.267949192431123,0.202,4.32539729595296,NB,0.601
0.267949192431123,0.142,5.15890483867739,NB,0.44
0.267949192431123,0.102,6.08697619407908,NB,0.272
0.267949192431123,0.309333333333333,3.495331158049,NB,1.01733333333333
0.267949192431123,0.242666666666667,3.9463593305836,NB,0.758666666666667
0.267949192431123,0.216,4.1828742981347,NB,0.561333333333333
0.267949192431123,0.102666666666667,6.06718109712328,NB,0.293333333333333
0.267949192431123,0.464,2.85392593975716,NB,1.438
0.267949192431123,0.304,3.52585864733643,NB,0.972
0.267949192431123,0.224,4.10750102007591,NB,0.724
0.267949192431123,0.204,4.3041421437544,NB,0.622
0.267949192431123,0.124,5.5206580348658,NB,0.388
0.466307658154999,0.143111111111111,8.94303865201221,NB,0.333777777777778
0.466307658154999,0.129777777777778,9.39121142394667,NB,0.253333333333333
0.466307658154999,0.0808888888888889,11.8953534161028,NB,0.173777777777778
0.466307658154999,0.0542222222222222,14.5289131707715,NB,0.112888888888889
0.466307658154999,0.156,8.5656334450758,NB,0.391
0.466307658154999,0.121,9.72588431263868,NB,0.285
0.466307658154999,0.086,11.5364598501641,NB,0.2005
0.466307658154999,0.061,13.6979907017641,NB,0.127
0.466307658154999,0.149714285714286,8.74359762150633,NB,0.458857142857143
0.466307658154999,0.132571428571429,9.29173502647243,NB,0.325714285714286
0.466307658154999,0.104,10.4907156320769,NB,0.235428571428571
0.466307658154999,0.0697142857142857,12.8132970233041,NB,0.145142857142857
0.466307658154999,0.188,7.80266317914901,NB,0.493333333333333
0.466307658154999,0.141333333333333,8.99910840913988,NB,0.345333333333333
0.466307658154999,0.101333333333333,10.627854990358,NB,0.239333333333333
0.466307658154999,0.0746666666666667,12.3810763789672,NB,0.236
0.466307658154999,0.2176,7.25257684467248,NB,0.5576
0.466307658154999,0.1616,8.4159104628277,NB,0.4056
0.466307658154999,0.1216,9.70185986018824,NB,0.2792
0.466307658154999,0.222,7.18034476361239,NB,0.612
0.466307658154999,0.172,8.15750899093739,NB,0.465
0.466307658154999,0.112,10.1091065316318,NB,0.296
0.466307658154999,0.072,12.6082710425882,NB,0.19
0.466307658154999,0.282666666666667,6.3633305807357,NB,0.802666666666667
0.466307658154999,0.216,7.27938868045408,NB,0.592
0.466307658154999,0.149333333333333,8.75474306595631,NB,0.394666666666667
0.466307658154999,0.096,10.9190830206811,NB,0.197333333333333
0.466307658154999,0.564,4.50486968687766,NB,1.816
0.466307658154999,0.344,5.76822992508206,NB,1.098
0.466307658154999,0.244,6.84899535088205,NB,0.76
0.466307658154999,0.144,8.91539395325213,NB,0.338
1,0.147555555555556,18.8873685090327,NB,0.282666666666667
1,0.107555555555556,22.1224291416742,NB,0.204444444444444
1,0.0764444444444444,26.2407517277762,NB,0.141333333333333
1,0.0542222222222222,31.157354842202,NB,0.0942222222222222
1,0.156,18.3690602015132,NB,0.327
1,0.121,20.857226216529,NB,0.2565
1,0.086,24.7400179868576,NB,0.177
1,0.061,29.3754358570087,NB,0.115
1,0.172571428571429,17.4648471670348,NB,0.373714285714286
1,0.132571428571429,19.9261900678112,NB,0.273142857142857
1,0.0925714285714286,23.8457372207666,NB,0.172
1,0.0697142857142857,27.4782041410202,NB,0.131428571428571
1,0.188,16.7328651860902,NB,0.424
1,0.138,19.5303350333662,NB,0.282666666666667
1,0.101333333333333,22.7915085769948,NB,0.212
1,0.0646666666666667,28.5304747917454,NB,0.13
1,0.2096,15.8472386250065,NB,0.4952
1,0.1536,18.5120122423265,NB,0.3392
1,0.1056,22.3263268080956,NB,0.2408
1,0.0816,25.3982712615984,NB,0.1696
1,0.242,14.7482860944495,NB,0.601
1,0.212,15.7572819552929,NB,0.46
1,0.117,21.2107637042082,NB,0.265
1,0.067,28.0292731145582,NB,0.159
1,0.296,13.3353181412945,NB,0.801333333333333
1,0.242666666666667,14.7280135266615,NB,0.613333333333333
1,0.136,19.6734163237258,NB,0.329333333333333
1,0.096,23.4160491034691,NB,0.236
1,0.504,10.2196016660428,NB,1.308
1,0.304,13.1586836121656,NB,0.778
1,0.144,19.1191240318183,NB,0.424
1,0.134,19.8196890910339,NB,0.318
0.0503778337531486,0.25,0.731002262663665,SB,0.506
0.0503778337531486,0.072,1.36214229251843,SB,0.233
0.0503778337531486,0.448,0.546071761139867,SB,0.723
0.0503778337531486,0.078,1.30870398312483,SB,0.251
0.0503778337531486,0.384,0.589824914445065,SB,0.621
0.0503778337531486,0.097,1.17355340653425,SB,0.274
0.0503778337531486,0.462,0.53773429808333,SB,0.659
0.0503778337531486,0.236,0.752372172274978,SB,0.467
0.0503778337531486,0.294,0.674085616508646,SB,0.542
0.0503778337531486,0.61,0.467976244676714,SB,0.78
0.0503778337531486,0.591,0.475439198510479,SB,0.79
0.0503778337531486,0.607,0.469131268016452,SB,0.805
0.0503778337531486,0.607,0.469131268016452,SB,0.78
